ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
IUFR/U CN Equity,19476414.64,46875653.8,34220047.94,32551268.95,39613855.09,40156263.76,48285104.51,44795882.72,41191892.07,31344802.48,28296479.8,16887817.57,14273617.69,13000475.47,7534751.335,2806576.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INAI/F CN Equity,11562117.05,26076904.65,11645288.49,10890044.84,8697757.758,7751609.861,9807013.194,6113333.569,6789866.103,6255197.032,14447393.41,4807162.376,18665057.06,21044614.79,10894834.99,2014405.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSH/U CN Equity,397424439.6,11442712.02,12636639.12,13108793.4,9925774.097,11106822.25,10451358.03,10472897.1,10094310.95,10045432,10370136.02,8315122.604,8011286.259,7472455.359,5077152.157,1560138.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INAI CN Equity,8220289.85,348937147.9,316097837.9,273873793.6,171101253.9,152398218.9,130675507.4,123370942.3,99677936.3,117431613.1,73487414.06,61397784.93,37831587.47,33837650.05,13579511,5022240.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNVD CN Equity,116933011.3,8449090.004,9325693.274,8214992.428,7814570.57,7505566.931,5759185.553,5603098.583,5376681.089,5467000.294,4346531.057,3932300.615,154244697.1,179950272.8,75723848.63,10863819.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFY CN Equity,15503403.12,106252544.2,111064296.3,103116885.3,93024031.64,80498116.78,61776973.34,53011110.02,43575093.7,29331600.09,26624297.05,23899335.86,15261246.44,14603699.85,6904404.64,3823243.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJAN CN Equity,75845633.02,13739054.16,14049887.87,13597711.8,12116835.64,11021468.21,9508310.652,9104154.205,8619480.371,6898714.018,5992789.865,8737390.566,8361701.202,8394318.676,3732679.224,2808313.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGLS CN Equity,31326682.45,75501751.6,31174919.33,30474214.12,17083663.2,17008729.43,16840793.36,16823241.52,16737435.99,16566942.44,16432898.4,16352804.62,15981901.9,16102515.71,15960287.55,1491506.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLSA CN Equity,212859551.8,42270650.54,27046438.69,34037864.93,33692129.3,23427012.54,22035342.15,22652074.6,22483169.17,23813441.7,17174428.42,15509512.7,13377753.3,12399143.98,1023683.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCLS CN Equity,16153255.15,224467492.1,162011336.6,125982440.7,109130914.2,104041010.8,90722558.1,83968556.15,80437637.2,75870662.92,65668900.18,29656157.73,24666704.56,19819927.83,13962473.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
